Calculation1,Number of Records,Base Experience,Base Happiness,Base Stat,Capture Rate,Color Id,Conquest Order,Effort,Evolution Chain Id,Evolves From Species Id,Forms Switchable,Gender Rate,Generation Id (Generation Names.Csv),Generation Id,Growth Rate Id,Habitat Id,Has Gender Differences,Hatch Counter,Height,Id (Generations.Csv),Id (Pokemon Species.Csv),Id,Identifier (Generations.Csv),Identifier (Pokemon Species.Csv),Identifier,Is Baby,Is Default,Local Language Id (Generation Names.Csv),Local Language Id (Type Names.Csv),Local Language Id,Main Region Id,Name (Generation Names.Csv),Name (Type Names.Csv),Name,Order (Pokemon Species.Csv),Order,Pokemon Id (Pokemon Types.Csv),Pokemon Id,Shape Id,Slot,Species Id,Stat Id (Stat Names.Csv),Stat Id,Type Id (Type Names.Csv),Type Id,Weight
65,1,142,70,65,45,2,,0,3,7,0,1,1,1,4,9,0,20,10,1,8,8,generation-i,wartortle,wartortle,0,1,5,5,5,1,Génération I,Eau,Attaque Spéciale,8,11,8,8,6,1,8,4,4,11,11,225
80,1,142,70,80,45,2,,1,3,7,0,1,1,1,4,9,0,20,10,1,8,8,generation-i,wartortle,wartortle,0,1,5,5,5,1,Génération I,Eau,Défense Spéciale,8,11,8,8,6,1,8,5,5,11,11,225
58,1,142,70,58,45,2,,0,3,7,0,1,1,1,4,9,0,20,10,1,8,8,generation-i,wartortle,wartortle,0,1,5,5,5,1,Génération I,Eau,Vitesse,8,11,8,8,6,1,8,6,6,11,11,225
79,1,239,70,79,45,2,,0,3,8,1,1,1,1,4,9,0,20,16,1,9,9,generation-i,blastoise,blastoise,0,1,5,5,5,1,Génération I,Eau,PV,9,12,9,9,6,1,9,1,1,11,11,855
83,1,239,70,83,45,2,,0,3,8,1,1,1,1,4,9,0,20,16,1,9,9,generation-i,blastoise,blastoise,0,1,5,5,5,1,Génération I,Eau,Attaque,9,12,9,9,6,1,9,2,2,11,11,855
100,1,239,70,100,45,2,,0,3,8,1,1,1,1,4,9,0,20,16,1,9,9,generation-i,blastoise,blastoise,0,1,5,5,5,1,Génération I,Eau,Défense,9,12,9,9,6,1,9,3,3,11,11,855
85,1,239,70,85,45,2,,0,3,8,1,1,1,1,4,9,0,20,16,1,9,9,generation-i,blastoise,blastoise,0,1,5,5,5,1,Génération I,Eau,Attaque Spéciale,9,12,9,9,6,1,9,4,4,11,11,855
105,1,239,70,105,45,2,,3,3,8,1,1,1,1,4,9,0,20,16,1,9,9,generation-i,blastoise,blastoise,0,1,5,5,5,1,Génération I,Eau,Défense Spéciale,9,12,9,9,6,1,9,5,5,11,11,855
78,1,239,70,78,45,2,,0,3,8,1,1,1,1,4,9,0,20,16,1,9,9,generation-i,blastoise,blastoise,0,1,5,5,5,1,Génération I,Eau,Vitesse,9,12,9,9,6,1,9,6,6,11,11,855
45,1,39,70,45,255,5,,1,4,,0,4,1,1,2,2,0,15,3,1,10,10,generation-i,caterpie,caterpie,0,1,5,5,5,1,Génération I,Insecte,PV,10,14,10,10,14,1,10,1,1,7,7,29
30,1,39,70,30,255,5,,0,4,,0,4,1,1,2,2,0,15,3,1,10,10,generation-i,caterpie,caterpie,0,1,5,5,5,1,Génération I,Insecte,Attaque,10,14,10,10,14,1,10,2,2,7,7,29
35,1,39,70,35,255,5,,0,4,,0,4,1,1,2,2,0,15,3,1,10,10,generation-i,caterpie,caterpie,0,1,5,5,5,1,Génération I,Insecte,Défense,10,14,10,10,14,1,10,3,3,7,7,29
20,1,39,70,20,255,5,,0,4,,0,4,1,1,2,2,0,15,3,1,10,10,generation-i,caterpie,caterpie,0,1,5,5,5,1,Génération I,Insecte,Attaque Spéciale,10,14,10,10,14,1,10,4,4,7,7,29
20,1,39,70,20,255,5,,0,4,,0,4,1,1,2,2,0,15,3,1,10,10,generation-i,caterpie,caterpie,0,1,5,5,5,1,Génération I,Insecte,Défense Spéciale,10,14,10,10,14,1,10,5,5,7,7,29
45,1,39,70,45,255,5,,0,4,,0,4,1,1,2,2,0,15,3,1,10,10,generation-i,caterpie,caterpie,0,1,5,5,5,1,Génération I,Insecte,Vitesse,10,14,10,10,14,1,10,6,6,7,7,29
50,1,72,70,50,120,5,,0,4,10,0,4,1,1,2,2,0,15,7,1,11,11,generation-i,metapod,metapod,0,1,5,5,5,1,Génération I,Insecte,PV,11,15,11,11,2,1,11,1,1,7,7,99
20,1,72,70,20,120,5,,0,4,10,0,4,1,1,2,2,0,15,7,1,11,11,generation-i,metapod,metapod,0,1,5,5,5,1,Génération I,Insecte,Attaque,11,15,11,11,2,1,11,2,2,7,7,99
55,1,72,70,55,120,5,,2,4,10,0,4,1,1,2,2,0,15,7,1,11,11,generation-i,metapod,metapod,0,1,5,5,5,1,Génération I,Insecte,Défense,11,15,11,11,2,1,11,3,3,7,7,99
25,1,72,70,25,120,5,,0,4,10,0,4,1,1,2,2,0,15,7,1,11,11,generation-i,metapod,metapod,0,1,5,5,5,1,Génération I,Insecte,Attaque Spéciale,11,15,11,11,2,1,11,4,4,7,7,99
25,1,72,70,25,120,5,,0,4,10,0,4,1,1,2,2,0,15,7,1,11,11,generation-i,metapod,metapod,0,1,5,5,5,1,Génération I,Insecte,Défense Spéciale,11,15,11,11,2,1,11,5,5,7,7,99
30,1,72,70,30,120,5,,0,4,10,0,4,1,1,2,2,0,15,7,1,11,11,generation-i,metapod,metapod,0,1,5,5,5,1,Génération I,Insecte,Vitesse,11,15,11,11,2,1,11,6,6,7,7,99
60,1,178,70,60,45,9,,0,4,11,0,4,1,1,2,2,1,15,11,1,12,12,generation-i,butterfree,butterfree,0,1,5,5,5,1,Génération I,Insecte,PV,12,16,12,12,13,1,12,1,1,7,7,320
45,1,178,70,45,45,9,,0,4,11,0,4,1,1,2,2,1,15,11,1,12,12,generation-i,butterfree,butterfree,0,1,5,5,5,1,Génération I,Insecte,Attaque,12,16,12,12,13,1,12,2,2,7,7,320
50,1,178,70,50,45,9,,0,4,11,0,4,1,1,2,2,1,15,11,1,12,12,generation-i,butterfree,butterfree,0,1,5,5,5,1,Génération I,Insecte,Défense,12,16,12,12,13,1,12,3,3,7,7,320
90,1,178,70,90,45,9,,2,4,11,0,4,1,1,2,2,1,15,11,1,12,12,generation-i,butterfree,butterfree,0,1,5,5,5,1,Génération I,Insecte,Attaque Spéciale,12,16,12,12,13,1,12,4,4,7,7,320
80,1,178,70,80,45,9,,1,4,11,0,4,1,1,2,2,1,15,11,1,12,12,generation-i,butterfree,butterfree,0,1,5,5,5,1,Génération I,Insecte,Défense Spéciale,12,16,12,12,13,1,12,5,5,7,7,320
70,1,178,70,70,45,9,,0,4,11,0,4,1,1,2,2,1,15,11,1,12,12,generation-i,butterfree,butterfree,0,1,5,5,5,1,Génération I,Insecte,Vitesse,12,16,12,12,13,1,12,6,6,7,7,320
40,1,39,70,40,255,3,,0,5,,0,4,1,1,2,2,0,15,3,1,13,13,generation-i,weedle,weedle,0,1,5,5,5,1,Génération I,Insecte,PV,13,17,13,13,14,1,13,1,1,7,7,32
35,1,39,70,35,255,3,,0,5,,0,4,1,1,2,2,0,15,3,1,13,13,generation-i,weedle,weedle,0,1,5,5,5,1,Génération I,Insecte,Attaque,13,17,13,13,14,1,13,2,2,7,7,32
30,1,39,70,30,255,3,,0,5,,0,4,1,1,2,2,0,15,3,1,13,13,generation-i,weedle,weedle,0,1,5,5,5,1,Génération I,Insecte,Défense,13,17,13,13,14,1,13,3,3,7,7,32
20,1,39,70,20,255,3,,0,5,,0,4,1,1,2,2,0,15,3,1,13,13,generation-i,weedle,weedle,0,1,5,5,5,1,Génération I,Insecte,Attaque Spéciale,13,17,13,13,14,1,13,4,4,7,7,32
20,1,39,70,20,255,3,,0,5,,0,4,1,1,2,2,0,15,3,1,13,13,generation-i,weedle,weedle,0,1,5,5,5,1,Génération I,Insecte,Défense Spéciale,13,17,13,13,14,1,13,5,5,7,7,32
50,1,39,70,50,255,3,,1,5,,0,4,1,1,2,2,0,15,3,1,13,13,generation-i,weedle,weedle,0,1,5,5,5,1,Génération I,Insecte,Vitesse,13,17,13,13,14,1,13,6,6,7,7,32
45,1,72,70,45,120,10,,0,5,13,0,4,1,1,2,2,0,15,6,1,14,14,generation-i,kakuna,kakuna,0,1,5,5,5,1,Génération I,Insecte,PV,14,18,14,14,2,1,14,1,1,7,7,100
25,1,72,70,25,120,10,,0,5,13,0,4,1,1,2,2,0,15,6,1,14,14,generation-i,kakuna,kakuna,0,1,5,5,5,1,Génération I,Insecte,Attaque,14,18,14,14,2,1,14,2,2,7,7,100
50,1,72,70,50,120,10,,2,5,13,0,4,1,1,2,2,0,15,6,1,14,14,generation-i,kakuna,kakuna,0,1,5,5,5,1,Génération I,Insecte,Défense,14,18,14,14,2,1,14,3,3,7,7,100
25,1,72,70,25,120,10,,0,5,13,0,4,1,1,2,2,0,15,6,1,14,14,generation-i,kakuna,kakuna,0,1,5,5,5,1,Génération I,Insecte,Attaque Spéciale,14,18,14,14,2,1,14,4,4,7,7,100
25,1,72,70,25,120,10,,0,5,13,0,4,1,1,2,2,0,15,6,1,14,14,generation-i,kakuna,kakuna,0,1,5,5,5,1,Génération I,Insecte,Défense Spéciale,14,18,14,14,2,1,14,5,5,7,7,100
35,1,72,70,35,120,10,,0,5,13,0,4,1,1,2,2,0,15,6,1,14,14,generation-i,kakuna,kakuna,0,1,5,5,5,1,Génération I,Insecte,Vitesse,14,18,14,14,2,1,14,6,6,7,7,100
65,1,178,70,65,45,10,177,0,5,14,1,4,1,1,2,2,0,15,10,1,15,15,generation-i,beedrill,beedrill,0,1,5,5,5,1,Génération I,Insecte,PV,15,19,15,15,13,1,15,1,1,7,7,295
90,1,178,70,90,45,10,177,2,5,14,1,4,1,1,2,2,0,15,10,1,15,15,generation-i,beedrill,beedrill,0,1,5,5,5,1,Génération I,Insecte,Attaque,15,19,15,15,13,1,15,2,2,7,7,295
40,1,178,70,40,45,10,177,0,5,14,1,4,1,1,2,2,0,15,10,1,15,15,generation-i,beedrill,beedrill,0,1,5,5,5,1,Génération I,Insecte,Défense,15,19,15,15,13,1,15,3,3,7,7,295
45,1,178,70,45,45,10,177,0,5,14,1,4,1,1,2,2,0,15,10,1,15,15,generation-i,beedrill,beedrill,0,1,5,5,5,1,Génération I,Insecte,Attaque Spéciale,15,19,15,15,13,1,15,4,4,7,7,295
80,1,178,70,80,45,10,177,1,5,14,1,4,1,1,2,2,0,15,10,1,15,15,generation-i,beedrill,beedrill,0,1,5,5,5,1,Génération I,Insecte,Défense Spéciale,15,19,15,15,13,1,15,5,5,7,7,295
75,1,178,70,75,45,10,177,0,5,14,1,4,1,1,2,2,0,15,10,1,15,15,generation-i,beedrill,beedrill,0,1,5,5,5,1,Génération I,Insecte,Vitesse,15,19,15,15,13,1,15,6,6,7,7,295
40,1,50,70,40,255,3,,0,6,,0,4,1,1,4,2,0,15,3,1,16,16,generation-i,pidgey,pidgey,0,1,5,5,5,1,Génération I,Normal,PV,16,21,16,16,9,1,16,1,1,1,1,18
45,1,50,70,45,255,3,,0,6,,0,4,1,1,4,2,0,15,3,1,16,16,generation-i,pidgey,pidgey,0,1,5,5,5,1,Génération I,Normal,Attaque,16,21,16,16,9,1,16,2,2,1,1,18
40,1,50,70,40,255,3,,0,6,,0,4,1,1,4,2,0,15,3,1,16,16,generation-i,pidgey,pidgey,0,1,5,5,5,1,Génération I,Normal,Défense,16,21,16,16,9,1,16,3,3,1,1,18
35,1,50,70,35,255,3,,0,6,,0,4,1,1,4,2,0,15,3,1,16,16,generation-i,pidgey,pidgey,0,1,5,5,5,1,Génération I,Normal,Attaque Spéciale,16,21,16,16,9,1,16,4,4,1,1,18
35,1,50,70,35,255,3,,0,6,,0,4,1,1,4,2,0,15,3,1,16,16,generation-i,pidgey,pidgey,0,1,5,5,5,1,Génération I,Normal,Défense Spéciale,16,21,16,16,9,1,16,5,5,1,1,18
56,1,50,70,56,255,3,,1,6,,0,4,1,1,4,2,0,15,3,1,16,16,generation-i,pidgey,pidgey,0,1,5,5,5,1,Génération I,Normal,Vitesse,16,21,16,16,9,1,16,6,6,1,1,18
63,1,122,70,63,120,3,,0,6,16,0,4,1,1,4,2,0,15,11,1,17,17,generation-i,pidgeotto,pidgeotto,0,1,5,5,5,1,Génération I,Normal,PV,17,22,17,17,9,1,17,1,1,1,1,300
60,1,122,70,60,120,3,,0,6,16,0,4,1,1,4,2,0,15,11,1,17,17,generation-i,pidgeotto,pidgeotto,0,1,5,5,5,1,Génération I,Normal,Attaque,17,22,17,17,9,1,17,2,2,1,1,300
55,1,122,70,55,120,3,,0,6,16,0,4,1,1,4,2,0,15,11,1,17,17,generation-i,pidgeotto,pidgeotto,0,1,5,5,5,1,Génération I,Normal,Défense,17,22,17,17,9,1,17,3,3,1,1,300
50,1,122,70,50,120,3,,0,6,16,0,4,1,1,4,2,0,15,11,1,17,17,generation-i,pidgeotto,pidgeotto,0,1,5,5,5,1,Génération I,Normal,Attaque Spéciale,17,22,17,17,9,1,17,4,4,1,1,300
50,1,122,70,50,120,3,,0,6,16,0,4,1,1,4,2,0,15,11,1,17,17,generation-i,pidgeotto,pidgeotto,0,1,5,5,5,1,Génération I,Normal,Défense Spéciale,17,22,17,17,9,1,17,5,5,1,1,300
71,1,122,70,71,120,3,,2,6,16,0,4,1,1,4,2,0,15,11,1,17,17,generation-i,pidgeotto,pidgeotto,0,1,5,5,5,1,Génération I,Normal,Vitesse,17,22,17,17,9,1,17,6,6,1,1,300
83,1,216,70,83,45,3,,0,6,17,1,4,1,1,4,2,0,15,15,1,18,18,generation-i,pidgeot,pidgeot,0,1,5,5,5,1,Génération I,Normal,PV,18,23,18,18,9,1,18,1,1,1,1,395
80,1,216,70,80,45,3,,0,6,17,1,4,1,1,4,2,0,15,15,1,18,18,generation-i,pidgeot,pidgeot,0,1,5,5,5,1,Génération I,Normal,Attaque,18,23,18,18,9,1,18,2,2,1,1,395
75,1,216,70,75,45,3,,0,6,17,1,4,1,1,4,2,0,15,15,1,18,18,generation-i,pidgeot,pidgeot,0,1,5,5,5,1,Génération I,Normal,Défense,18,23,18,18,9,1,18,3,3,1,1,395
70,1,216,70,70,45,3,,0,6,17,1,4,1,1,4,2,0,15,15,1,18,18,generation-i,pidgeot,pidgeot,0,1,5,5,5,1,Génération I,Normal,Attaque Spéciale,18,23,18,18,9,1,18,4,4,1,1,395
70,1,216,70,70,45,3,,0,6,17,1,4,1,1,4,2,0,15,15,1,18,18,generation-i,pidgeot,pidgeot,0,1,5,5,5,1,Génération I,Normal,Défense Spéciale,18,23,18,18,9,1,18,5,5,1,1,395
101,1,216,70,101,45,3,,3,6,17,1,4,1,1,4,2,0,15,15,1,18,18,generation-i,pidgeot,pidgeot,0,1,5,5,5,1,Génération I,Normal,Vitesse,18,23,18,18,9,1,18,6,6,1,1,395
30,1,51,70,30,255,7,,0,7,,0,4,1,1,2,3,1,15,3,1,19,19,generation-i,rattata,rattata,0,1,5,5,5,1,Génération I,Normal,PV,19,25,19,19,8,1,19,1,1,1,1,35
56,1,51,70,56,255,7,,0,7,,0,4,1,1,2,3,1,15,3,1,19,19,generation-i,rattata,rattata,0,1,5,5,5,1,Génération I,Normal,Attaque,19,25,19,19,8,1,19,2,2,1,1,35
35,1,51,70,35,255,7,,0,7,,0,4,1,1,2,3,1,15,3,1,19,19,generation-i,rattata,rattata,0,1,5,5,5,1,Génération I,Normal,Défense,19,25,19,19,8,1,19,3,3,1,1,35
25,1,51,70,25,255,7,,0,7,,0,4,1,1,2,3,1,15,3,1,19,19,generation-i,rattata,rattata,0,1,5,5,5,1,Génération I,Normal,Attaque Spéciale,19,25,19,19,8,1,19,4,4,1,1,35
35,1,51,70,35,255,7,,0,7,,0,4,1,1,2,3,1,15,3,1,19,19,generation-i,rattata,rattata,0,1,5,5,5,1,Génération I,Normal,Défense Spéciale,19,25,19,19,8,1,19,5,5,1,1,35
72,1,51,70,72,255,7,,1,7,,0,4,1,1,2,3,1,15,3,1,19,19,generation-i,rattata,rattata,0,1,5,5,5,1,Génération I,Normal,Vitesse,19,25,19,19,8,1,19,6,6,1,1,35
55,1,145,70,55,127,3,,0,7,19,0,4,1,1,2,3,1,15,7,1,20,20,generation-i,raticate,raticate,0,1,5,5,5,1,Génération I,Normal,PV,20,27,20,20,8,1,20,1,1,1,1,185
81,1,145,70,81,127,3,,0,7,19,0,4,1,1,2,3,1,15,7,1,20,20,generation-i,raticate,raticate,0,1,5,5,5,1,Génération I,Normal,Attaque,20,27,20,20,8,1,20,2,2,1,1,185
60,1,145,70,60,127,3,,0,7,19,0,4,1,1,2,3,1,15,7,1,20,20,generation-i,raticate,raticate,0,1,5,5,5,1,Génération I,Normal,Défense,20,27,20,20,8,1,20,3,3,1,1,185
50,1,145,70,50,127,3,,0,7,19,0,4,1,1,2,3,1,15,7,1,20,20,generation-i,raticate,raticate,0,1,5,5,5,1,Génération I,Normal,Attaque Spéciale,20,27,20,20,8,1,20,4,4,1,1,185
